Designator;Comment;Layer;Footprint;Center-X(mil);Center-Y(mil);Rotation;Description;LCSC PART #;;
R1;49.9;TopLayer;RESC_0805;763;2536;90;Thick film resistor, SMD 0402, 1/16W, 1%;C17720;;
R4;R 470 1/8W 0805 1%;TopLayer;RESC_0805;3235;640;270;Resistores de Filme Espesso - SMD 1/8Watt 470ohms 1% Commercial Use;C17710;;
R3;220;TopLayer;RESC_0805;190;3542;270;Thick film resistor, SMD 0402, 1/16W, 1%;C17557;;
L2;Green;TopLayer;CD2012-0805;3275;505;360;LED 2X1.2MM 570NM GN WTR CLR SMD;C84256;;
L1;Green;TopLayer;CD2012-0805;188;3377;270;LED 2X1.2MM 570NM GN WTR CLR SMD;C84256;;
P1;61500814221;BottomLayer;61500814221;3485;437,913;180;Modular Jack Horizontal Shielded 8P8C Tab Down WR-MJ;;;
CAN_L1;testePoint;TopLayer;PAD_2.5MM_-_FURO_1.25MM;3415;245;90;;;;
CAN_H1;testePoint;TopLayer;PAD_2.5MM_-_FURO_1.25MM;3595;245;90;;;;
C10;Capacitor;TopLayer;CAPC_0805;3235;800;270;Capacitor;C1710;;
C9;Capacitor;TopLayer;CAPC_0805;3705;1430;180;Capacitor;C49678;;
C8;Capacitor;TopLayer;CAPC_0805;3707,401;1340;180;Capacitor;C28323;;
C7;Capacitor;TopLayer;CAPC_0805;3046;1488;0;Capacitor;C1710;;
C6;Capacitor;TopLayer;CAPC_0805;3045;1660;0;Capacitor;C49678;;
C5;Capacitor;TopLayer;CAPC_0805;3045;1575;0;Capacitor;C28323;;
C4;Capacitor;TopLayer;CAPC_0805;755;2326;90;Capacitor;C1794;;
U8;relay G6DN;BottomLayer;Relay_-_G6DN;2945;3090;90;relay G6DN;;;
U10;relay G6DN;BottomLayer;Relay_-_G6DN;2680;3090;90;relay G6DN;;;
R20;Resistor;TopLayer;RESC_0805;2770;2710;90;Resistor;;;
R16;Resistor;TopLayer;RESC_0805;2860;2710;90;Resistor;;;
U15;IC AmpIso BIPOL AMC1200;TopLayer;SOIC8;380;979,567;90;Amplificadores de isolamento 4kV peak Iso Amp;C79905;;
C26;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;200;1230;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
P10;P 2p 5mm;BottomLayer;connector1x2_parafuso;590;60;360;Bloques de terminales de PCB de perfil estándar RS de 5,0 mm;;;
P11;P 2p 5mm;BottomLayer;connector1x2_parafuso;1574,37;65;360;Bloques de terminales de PCB de perfil estándar RS de 5,0 mm;;;
U14;IC AmpIso BIPOL AMC1200;TopLayer;SOIC8;2395;979,567;90;Amplificadores de isolamento 4kV peak Iso Amp;C79905;;
U11;IC CC/CC 1W 5V;BottomLayer;DC/DC_ISO;2770;960,591;270;Conversores CC/CC com isolação 1W 5Vin 5Vout 200mA SIP7;;;
R46;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2390;575;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
